	bias_matched	ORmatched	se_matched	inCI_matched	n1	bias_adj	ORadj	se_adj	inCI_adj	Cstat	KS	time
expertPS.1	0.26 (0.23)	0.65 (0.3)	0.45 (0.1)	1.00 (0.03)	1333 (48)	0.07 (0.05)	0.67 (0.22)	0.33 (0.02)	1.00 (0.00)	0.73 (0.02)	0.96 (0.07)	0.87 (0.18)
hdPS.1	0.13 (0.1)	0.7 (0.24)	0.32 (0.03)	1.00 (0.00)	1748 (104)	0.09 (0.07)	0.69 (0.21)	0.3 (0.02)	1.00 (0.00)	0.56 (0.05)	0.99 (0.03)	1.05 (0.41)
lassoPS.1	0.2 (0.16)	0.67 (0.26)	0.39 (0.04)	1.00 (0.00)	1199 (47)	0.12 (0.09)	0.66 (0.22)	0.34 (0.02)	1.00 (0.00)	0.77 (0.01)	0.91 (0.1)	0.96 (0.28)
rfPS.1	0.19 (0.15)	0.68 (0.26)	0.39 (0.04)	1.00 (0.00)	1237 (44)	0.11 (0.08)	0.66 (0.22)	0.34 (0.02)	1.00 (0.00)	0.76 (0.01)	0.94 (0.08)	0.73 (0.26)
euclidean.1	0.17 (0.14)	0.7 (0.26)	0.37 (0.04)	1.00 (0.03)	1336 (31)	-	-	-	-	-	-	0.21 (0.07)
jaccard.1	0.19 (0.15)	0.74 (0.29)	0.37 (0.03)	1.00 (0.06)	1361 (32)	-	-	-	-	-	-	10.41 (1.27)
dice.1	0.2 (0.15)	0.75 (0.29)	0.37 (0.04)	1.00 (0.04)	1361 (32)	-	-	-	-	-	-	8.44 (0.87)
cosine.1	0.19 (0.15)	0.74 (0.28)	0.37 (0.04)	1.00 (0.03)	1359 (32)	-	-	-	-	-	-	8.46 (0.79)
pearson.1	0.2 (0.15)	0.75 (0.28)	0.37 (0.03)	1.00 (0.05)	1340 (40)	-	-	-	-	-	-	1.17 (0.17)
spearman.1	0.21 (0.17)	0.76 (0.3)	0.37 (0.04)	0.99 (0.08)	1316 (40)	-	-	-	-	-	-	1.3 (0.18)
lassoMV.1	-	-	-	-	-	0.1 (0.08)	0.72 (0.23)	0.3 (0.04)	1.00 (0.03)	-	-	1.09 (0.29)
rdmBag.1	0.11 (0.08)	0.75 (0.23)	0.34 (0.02)	1.00 (0.00)	1553 (26)	-	-	-	-	-	-	16.05 (1.61)
rdmJK.1	0.11 (0.08)	0.73 (0.23)	0.31 (0.02)	1.00 (0.00)	1863 (44)	-	-	-	-	-	-	18.21 (1.37)
rdmSamp1x.1	0.12 (0.09)	0.74 (0.23)	0.31 (0.02)	1.00 (0.00)	1863 (44)	-	-	-	-	-	-	0.19 (0.05)
expertPS.2	0.25 (0.25)	1.76 (2.01)	0.38 (0.11)	0.99 (0.12)	1231 (47)	0.07 (0.05)	1.48 (0.36)	0.23 (0.01)	1.00 (0.00)	0.76 (0.01)	0.91 (0.1)	1.72 (0.42)
hdPS.2	0.13 (0.1)	1.39 (0.32)	0.22 (0.01)	1.00 (0.06)	1626 (108)	0.11 (0.08)	1.38 (0.28)	0.2 (0.01)	1.00 (0.03)	0.63 (0.04)	0.98 (0.04)	5.11 (0.98)
lassoPS.2	0.16 (0.12)	1.41 (0.4)	0.27 (0.02)	0.99 (0.09)	1117 (46)	0.12 (0.09)	1.39 (0.33)	0.23 (0.01)	1.00 (0.04)	0.8 (0.01)	0.85 (0.13)	2.17 (0.48)
rfPS.2	0.15 (0.12)	1.39 (0.36)	0.25 (0.02)	0.99 (0.1)	1256 (47)	0.12 (0.08)	1.38 (0.31)	0.22 (0.01)	1.00 (0.05)	0.75 (0.01)	0.94 (0.08)	2.35 (0.47)
euclidean.2	0.15 (0.11)	1.47 (0.39)	0.25 (0.02)	0.99 (0.09)	1328 (22)	-	-	-	-	-	-	0.37 (0.09)
jaccard.2	0.12 (0.09)	1.56 (0.36)	0.22 (0.01)	1.00 (0.04)	1604 (18)	-	-	-	-	-	-	12.43 (2.18)
dice.2	0.12 (0.09)	1.56 (0.37)	0.22 (0.01)	0.99 (0.08)	1604 (17)	-	-	-	-	-	-	10.16 (1.68)
cosine.2	0.12 (0.09)	1.55 (0.39)	0.22 (0.01)	1.00 (0.04)	1606 (18)	-	-	-	-	-	-	10.3 (1.81)
pearson.2	0.12 (0.09)	1.56 (0.38)	0.23 (0.01)	1.00 (0.06)	1582 (20)	-	-	-	-	-	-	1.6 (0.3)
spearman.2	0.12 (0.09)	1.56 (0.39)	0.23 (0.01)	1.00 (0.06)	1555 (21)	-	-	-	-	-	-	1.86 (0.33)
lassoMV.2	-	-	-	-	-	0.08 (0.06)	1.54 (0.33)	0.19 (0.02)	1.00 (0.03)	-	-	5.57 (0.92)
rdmBag.2	0.09 (0.07)	1.57 (0.34)	0.23 (0.01)	1.00 (0.00)	1643 (10)	-	-	-	-	-	-	19.91 (2.6)
rdmJK.2	0.09 (0.07)	1.55 (0.33)	0.2 (0.01)	1.00 (0.00)	1998 (7)	-	-	-	-	-	-	22.86 (2.76)
rdmSamp1x.2	0.09 (0.07)	1.55 (0.33)	0.2 (0.01)	1.00 (0.00)	1998 (7)	-	-	-	-	-	-	0.24 (0.07)
